日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260430,日油,4403,化学,0.0705%,TOPIX Mid400
20260430,ハリマ化成グループ,4410,化学,0.0013%,TOPIX Small 2
20260430,ボードルア,4413,情報・通信業,0.0027%,TOPIX Small 2
20260430,ＮＥ,441A,情報・通信業,0.0006%,TOPIX Small 2
20260430,イーソル,4420,情報・通信業,0.0007%,TOPIX Small 2
20260430,ウイングアーク１ｓｔ,4432,情報・通信業,0.0053%,TOPIX Small 1
20260430,ヒト・コミュニケーションズ・ホールディングス,4433,サービス業,0.0006%,TOPIX Small 2
20260430,サーバーワークス,4434,情報・通信業,0.0008%,TOPIX Small 2
20260430,Ｓａｎｓａｎ,4443,情報・通信業,0.0079%,TOPIX Small 1
20260430,ギフティ,4449,情報・通信業,0.0017%,TOPIX Small 2
20260430,花王,4452,化学,0.2644%,TOPIX Large70
20260430,第一工業製薬,4461,化学,0.0064%,TOPIX Small 2
20260430,石原ケミカル,4462,化学,0.0022%,TOPIX Small 2
20260430,三洋化成工業,4471,化学,0.0059%,TOPIX Small 1
20260430,メドレー,4480,情報・通信業,0.0053%,TOPIX Small 1
20260430,ベース,4481,情報・通信業,0.0026%,TOPIX Small 2
20260430,ＪＭＤＣ,4483,情報・通信業,0.0093%,TOPIX Small 1
20260430,武田薬品工業,4502,医薬品,0.8978%,TOPIX Core30
20260430,アステラス製薬,4503,医薬品,0.3748%,TOPIX Large70
20260430,住友ファーマ,4506,医薬品,0.0331%,TOPIX Mid400
20260430,塩野義製薬,4507,医薬品,0.2214%,TOPIX Large70
20260430,日本新薬,4516,医薬品,0.0240%,TOPIX Mid400
20260430,中外製薬,4519,医薬品,0.4863%,TOPIX Large70
20260430,科研製薬,4521,医薬品,0.0116%,TOPIX Small 1
20260430,エーザイ,4523,医薬品,0.1171%,TOPIX Mid400
20260430,理研ビタミン,4526,食料品,0.0046%,TOPIX Small 2
20260430,ロート製薬,4527,医薬品,0.0465%,TOPIX Mid400
20260430,小野薬品工業,4528,医薬品,0.0985%,TOPIX Mid400
20260430,持田製薬,4534,医薬品,0.0079%,TOPIX Small 2
20260430,参天製薬,4536,医薬品,0.0520%,TOPIX Mid400
20260430,扶桑薬品工業,4538,医薬品,0.0016%,TOPIX Small 2
20260430,ツムラ,4540,医薬品,0.0240%,TOPIX Mid400
20260430,テルモ,4543,精密機器,0.2532%,TOPIX Large70
20260430,Ｈ．Ｕ．グループホールディングス,4544,サービス業,0.0191%,TOPIX Mid400
20260430,キッセイ薬品工業,4547,医薬品,0.0131%,TOPIX Small 1
20260430,生化学工業,4548,医薬品,0.0023%,TOPIX Small 2
20260430,栄研化学,4549,医薬品,0.0084%,TOPIX Small 1
20260430,ＪＣＲファーマ,4552,医薬品,0.0045%,TOPIX Small 1
20260430,東和薬品,4553,医薬品,0.0102%,TOPIX Small 1
20260430,富士製薬工業,4554,医薬品,0.0033%,TOPIX Small 2
20260430,ゼリア新薬工業,4559,医薬品,0.0054%,TOPIX Small 1
20260430,ネクセラファーマ,4565,医薬品,0.0082%,TOPIX Small 1
20260430,第一三共,4568,医薬品,0.4550%,TOPIX Core30
20260430,杏林製薬,4569,医薬品,0.0060%,TOPIX Small 1
20260430,大幸薬品,4574,医薬品,0.0012%,TOPIX Small 2
20260430,ダイト,4577,医薬品,0.0030%,TOPIX Small 2
20260430,大塚ホールディングス,4578,医薬品,0.4860%,TOPIX Large70
20260430,ペプチドリーム,4587,医薬品,0.0107%,TOPIX Mid400
20260430,大日本塗料,4611,化学,0.0026%,TOPIX Small 2
20260430,日本ペイントホールディングス,4612,化学,0.1004%,TOPIX Mid400
20260430,関西ペイント,4613,化学,0.0357%,TOPIX Mid400
20260430,中国塗料,4617,化学,0.0125%,TOPIX Small 1
20260430,藤倉化成,4620,化学,0.0027%,TOPIX Small 2
20260430,太陽ホールディングス,4626,化学,0.0443%,TOPIX Mid400
20260430,ＤＩＣ,4631,化学,0.0243%,TOPIX Mid400
20260430,サカタインクス,4633,化学,0.0099%,TOPIX Small 1
20260430,ａｒｔｉｅｎｃｅ,4634,化学,0.0140%,TOPIX Small 1
20260430,アルプス技研,4641,サービス業,0.0041%,TOPIX Small 2
20260430,サニックスホールディングス,4651,サービス業,0.0006%,TOPIX Small 2
20260430,日本空調サービス,4658,サービス業,0.0033%,TOPIX Small 2
20260430,オリエンタルランド,4661,サービス業,0.2531%,TOPIX Large70
20260430,フォーカスシステムズ,4662,情報・通信業,0.0019%,TOPIX Small 2
20260430,ダスキン,4665,サービス業,0.0176%,TOPIX Mid400
20260430,パーク２４,4666,不動産業,0.0245%,TOPIX Mid400
20260430,明光ネットワークジャパン,4668,サービス業,0.0018%,TOPIX Small 2
20260430,ファルコホールディングス,4671,サービス業,0.0019%,TOPIX Small 2
20260430,クレスコ,4674,情報・通信業,0.0045%,TOPIX Small 2
20260430,フジ・メディア・ホールディングス,4676,情報・通信業,0.0580%,TOPIX Mid400
20260430,ラウンドワン,4680,サービス業,0.0159%,TOPIX Mid400
20260430,リゾートトラスト,4681,サービス業,0.0325%,TOPIX Mid400
20260430,オービック,4684,情報・通信業,0.1479%,TOPIX Mid400
20260430,ジャストシステム,4686,情報・通信業,0.0102%,TOPIX Small 1
20260430,ＴＤＣソフト,4687,情報・通信業,0.0034%,TOPIX Small 2
20260430,ＬＩＮＥヤフー,4689,情報・通信業,0.1216%,TOPIX Large70
20260430,ビー・エム・エル,4694,サービス業,0.0100%,TOPIX Small 1
20260430,トレンドマイクロ,4704,情報・通信業,0.0606%,TOPIX Mid400
20260430,ＩＤホールディングス,4709,情報・通信業,0.0025%,TOPIX Small 2
20260430,リソー教育グループ,4714,サービス業,0.0012%,TOPIX Small 2
20260430,日本オラクル,4716,情報・通信業,0.0317%,TOPIX Mid400
20260430,早稲田アカデミー,4718,サービス業,0.0018%,TOPIX Small 2
20260430,アルファシステムズ,4719,情報・通信業,0.0020%,TOPIX Small 2
20260430,ＮＳグループ,471A,その他金融業,0.0058%,TOPIX Small 2
20260430,フューチャー,4722,情報・通信業,0.0062%,TOPIX Small 1
20260430,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,4725,情報・通信業,0.0021%,TOPIX Small 2
20260430,ユー・エス・エス,4732,サービス業,0.0631%,TOPIX Mid400
20260430,オービックビジネスコンサルタント,4733,情報・通信業,0.0198%,TOPIX Mid400
20260430,アイティフォー,4743,情報・通信業,0.0034%,TOPIX Small 2
20260430,東計電算,4746,情報・通信業,0.0023%,TOPIX Small 2
20260430,サイバーエージェント,4751,サービス業,0.0542%,TOPIX Mid400
20260430,楽天グループ,4755,サービス業,0.1178%,TOPIX Mid400
20260430,クリーク・アンド・リバー社,4763,サービス業,0.0015%,TOPIX Small 2
20260430,ＳＢＩグローバルアセットマネジメント,4765,サービス業,0.0022%,TOPIX Small 2
20260430,テー・オー・ダブリュー,4767,サービス業,0.0014%,TOPIX Small 2
20260430,大塚商会,4768,情報・通信業,0.0629%,TOPIX Mid400
20260430,サイボウズ,4776,情報・通信業,0.0055%,TOPIX Small 1
20260430,ＧＭＯインターネット,4784,サービス業,0.0003%,TOPIX Small 2
20260430,山田コンサルティンググループ,4792,サービス業,0.0014%,TOPIX Small 2
20260430,セントラルスポーツ,4801,サービス業,0.0019%,TOPIX Small 2
20260430,パラカ,4809,不動産業,0.0014%,TOPIX Small 2
20260430,電通総研,4812,情報・通信業,0.0153%,TOPIX Small 1
20260430,デジタルガレージ,4819,情報・通信業,0.0067%,TOPIX Small 1
20260430,イーエムシステムズ,4820,情報・通信業,0.0017%,TOPIX Small 2
20260430,ウェザーニューズ,4825,情報・通信業,0.0055%,TOPIX Small 1
20260430,ＣＩＪ,4826,情報・通信業,0.0023%,TOPIX Small 2
20260430,ビジネスエンジニアリング,4828,情報・通信業,0.0027%,TOPIX Small 2
20260430,ＷＯＷＯＷ,4839,情報・通信業,0.0017%,TOPIX Small 2
20260430,スカラ,4845,情報・通信業,0.0006%,TOPIX Small 2
20260430,フルキャストホールディングス,4848,サービス業,0.0024%,TOPIX Small 2
20260430,エン,4849,サービス業,0.0035%,TOPIX Small 1
20260430,セルソース,4880,医薬品,0.0004%,TOPIX Small 2
20260430,あすか製薬ホールディングス,4886,医薬品,0.0054%,TOPIX Small 2
20260430,サワイグループホールディングス,4887,医薬品,0.0208%,TOPIX Mid400
20260430,富士フイルムホールディングス,4901,化学,0.3336%,TOPIX Large70
20260430,コニカミノルタ,4902,電気機器,0.0215%,TOPIX Mid400
20260430,資生堂,4911,化学,0.1181%,TOPIX Mid400
20260430,ライオン,4912,化学,0.0336%,TOPIX Mid400
20260430,高砂香料工業,4914,化学,0.0084%,TOPIX Small 1
20260430,マンダム,4917,化学,0.0043%,TOPIX Small 1
20260430,ミルボン,4919,化学,0.0077%,TOPIX Small 1
20260430,コーセーホールディングス,4922,化学,0.0241%,TOPIX Mid400
20260430,コタ,4923,化学,0.0023%,TOPIX Small 2
20260430,ポーラ・オルビスホールディングス,4927,化学,0.0127%,TOPIX Mid400
20260430,ノエビアホールディングス,4928,化学,0.0075%,TOPIX Small 1
20260430,新日本製薬,4931,化学,0.0022%,TOPIX Small 2
20260430,Ｉ－ｎｅ,4933,化学,0.0005%,TOPIX Small 2
20260430,アクシージア,4936,化学,0.0004%,TOPIX Small 2
20260430,エステー,4951,化学,0.0026%,TOPIX Small 2
20260430,コニシ,4956,化学,0.0086%,TOPIX Small 2
20260430,長谷川香料,4958,化学,0.0106%,TOPIX Small 1
20260430,小林製薬,4967,化学,0.0291%,TOPIX Mid400
20260430,荒川化学工業,4968,化学,0.0020%,TOPIX Small 2
